ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-02-12,289.1651199007611,279.26538186080273,285.12891250619225,289.1651199007611,289.1651199007611,-6.984101446608497,-6.984101446608497,-6.984101446608497,-0.03977502371545264,-0.03977502371545264,-0.03977502371545264,-6.944326422893045,-6.944326422893045,-6.944326422893045,0.0,0.0,0.0,282.1810184541526
2015-02-13,289.1866739388912,279.388191073195,285.26044099021215,289.1866739388912,289.1866739388912,-6.802366527798091,-6.802366527798091,-6.802366527798091,0.07190578096092694,0.07190578096092694,0.07190578096092694,-6.874272308759018,-6.874272308759018,-6.874272308759018,0.0,0.0,0.0,282.3843074110931
2015-02-14,289.2082279770213,279.5429027094602,285.5625788959932,289.2082279770213,289.2082279770213,-6.702807407426294,-6.702807407426294,-6.702807407426294,0.09040240619858357,0.09040240619858357,0.09040240619858357,-6.793209813624878,-6.793209813624878,-6.793209813624878,0.0,0.0,0.0,282.505420569595
2015-02-15,289.22978201515144,279.70377725842917,285.58584715316414,289.22978201515144,289.22978201515144,-6.575581443621267,-6.575581443621267,-6.575581443621267,0.12661403692308176,0.12661403692308176,0.12661403692308176,-6.702195480544349,-6.702195480544349,-6.702195480544349,0.0,0.0,0.0,282.65420057153017
2015-02-16,289.25133605328153,279.86427638626355,285.88203576662835,289.25133605328153,289.25133605328153,-6.573336870024052,-6.573336870024052,-6.573336870024052,0.029189738173981492,0.029189738173981492,0.029189738173981492,-6.602526608198033,-6.602526608198033,-6.602526608198033,0.0,0.0,0.0,282.6779991832575
2015-02-17,289.2620415664538,279.7760851056445,285.6658708710239,289.2620415664538,289.2620415664538,-6.62689745822286,-6.62689745822286,-6.62689745822286,-0.13119102764878793,-0.13119102764878793,-0.13119102764878793,-6.495706430574073,-6.495706430574073,-6.495706430574073,0.0,0.0,0.0,282.6351441082309
2015-02-18,289.2727470796261,279.9284573051588,285.63614904046915,289.2727470796261,289.2727470796261,-6.530549468899652,-6.530549468899652,-6.530549468899652,-0.14714591089257287,-0.14714591089257287,-0.14714591089257287,-6.383403558007081,-6.383403558007081,-6.383403558007081,0.0,0.0,0.0,282.7421976107264
2015-02-19,289.28345259279837,280.0475415206987,285.7226513461301,289.28345259279837,289.28345259279837,-6.307181815205409,-6.307181815205409,-6.307181815205409,-0.03977502371566493,-0.03977502371566493,-0.03977502371566493,-6.267406791489744,-6.267406791489744,-6.267406791489744,0.0,0.0,0.0,282.97627077759296
2015-02-20,289.29415810597067,280.4279584671387,286.0950725805886,289.29415810597067,289.29415810597067,-6.077670774159542,-6.077670774159542,-6.077670774159542,0.07190578096096345,0.07190578096096345,0.07190578096096345,-6.149576555120505,-6.149576555120505,-6.149576555120505,0.0,0.0,0.0,283.21648733181115
2015-02-21,289.30486361914296,280.4781453433838,286.5122931776056,289.30486361914296,289.30486361914296,-5.941391883497819,-5.941391883497819,-5.941391883497819,0.09040240619861671,0.09040240619861671,0.09040240619861671,-6.031794289696437,-6.031794289696437,-6.031794289696437,0.0,0.0,0.0,283.36347173564513
2015-02-22,289.3155691323152,280.48427898088454,286.44839375961567,289.3155691323152,289.3155691323152,-5.789297173986598,-5.789297173986598,-5.789297173986598,0.12661403692311318,0.12661403692311318,0.12661403692311318,-5.915911210909711,-5.915911210909711,-5.915911210909711,0.0,0.0,0.0,283.5262719583286
2015-02-23,289.3262746454875,280.72903846884935,286.49719259846,289.3262746454875,289.3262746454875,-5.774508118351262,-5.774508118351262,-5.774508118351262,0.02918973817381136,0.02918973817381136,0.02918973817381136,-5.803697856525074,-5.803697856525074,-5.803697856525074,0.0,0.0,0.0,283.55176652713624
2015-02-24,289.33698015865974,280.68495566968784,286.30463587585433,289.33698015865974,289.33698015865974,-5.827986855270934,-5.827986855270934,-5.827986855270934,-0.13119102764864635,-0.13119102764864635,-0.13119102764864635,-5.696795827622288,-5.696795827622288,-5.696795827622288,0.0,0.0,0.0,283.5089933033888
2015-02-25,289.34768567183204,280.7533590270383,286.4559032374324,289.34768567183204,289.34768567183204,-5.743818980808185,-5.743818980808185,-5.743818980808185,-0.14714591089256376,-0.14714591089256376,-0.14714591089256376,-5.596673069915621,-5.596673069915621,-5.596673069915621,0.0,0.0,0.0,283.6038666910239
2015-02-26,289.35839118500434,280.91543876146807,286.5893933513563,289.35839118500434,289.35839118500434,-5.544358967631559,-5.544358967631559,-5.544358967631559,-0.039775023715541355,-0.039775023715541355,-0.039775023715541355,-5.5045839439160185,-5.5045839439160185,-5.5045839439160185,0.0,0.0,0.0,283.81403221737276
2015-02-27,289.3690966981766,280.9804285399393,287.0674296412181,289.3690966981766,289.3690966981766,-5.34962941899941,-5.34962941899941,-5.34962941899941,0.07190578096100249,0.07190578096100249,0.07190578096100249,-5.421535199960411,-5.421535199960411,-5.421535199960411,0.0,0.0,0.0,284.01946727917715
2015-02-28,289.3798022113489,281.30145496907875,287.011984522591,289.3798022113489,289.3798022113489,-5.257856403394652,-5.257856403394652,-5.257856403394652,0.09040240619864982,0.09040240619864982,0.09040240619864982,-5.348258809593302,-5.348258809593302,-5.348258809593302,0.0,0.0,0.0,284.1219458079542
2015-03-01,289.39050772452117,281.62074481736903,287.0944248735724,289.39050772452117,289.39050772452117,-5.15857837617252,-5.15857837617252,-5.15857837617252,0.12661403692306528,0.12661403692306528,0.12661403692306528,-5.285192413095586,-5.285192413095586,-5.285192413095586,0.0,0.0,0.0,284.2319293483487
